Symbol,Daily,Weekly,Monthly
SPY,,,
QQQ,,,
VOO,,,
TQQQ,,,
XLF,,,
XLE,,,
XLI,,,
XLU,,,
XLV,,,
XLP,,,
XLY,,,
XLC,,,
XLK,,,
XLRE,,,
AVGO,,,
GOOG,,,
MNST,,,
CRM,,,
META,,,
LLY,,,
V,,,
ADBE,,,
NOW,,,
MAGS,,,
SMH,,,
QCOM,,,
PLTR,,,
MSFT,,,
SMCI,,,
AAPL,,,
TSLA,,,
NVDA,,,
